index,subject ,Q,A
1,采购经理,采购经理调查报表可以拒绝吗？,"采购经理调查是由国家统计局各调查总队负责催报和审核，国家统计局服务业统计司负责数据汇总的统计调查活动，旨在监测宏观经济运行和企业生产经营状况，为宏观调控和企业经营提供参考依据。

1.法律依据，根据《中华人民共和国统计法》和相关采购经理调查统计报表制度的规定，采购经理调查报表是依法开展的统计调查活动，具有法律强制性。《中华人民共和国统计法》第八条规定国家机关、企业事业单位和其他组织以及个体工商户和 个人等统计调查对象，统计调查对象必须依照本法和国家有关规定，真实、准确、完整、及时地提供统计调查所需的资料，不得提供不真实或不完整的统计资料，不得迟报、拒报统计资料。
2.填报责任，填报采购经理调查问卷的主要责任人为制造业企业的采购（或供应）经理，或非制造业企业的主管运营的负责人或采购（或供应）经理。如果企业拒报或迟报统计资料，经多次催报仍未报送的企业，可按照《统计法》有关规定进行处理。例如，根据统计法，统计调查对象提供不真实或不完整统计资料的，将被责令改正，并可能受到警告、罚款等行政处罚。
3.特殊情况的处理，如果企业确实存在无法独立填报的情况，可以由相关负责人将各部门信息收集后统一上报，或者与统计部门联系寻求帮助。对于因特殊情况不能实现直报的企业，可以与调查队或受委托的县级统计部门联系，通过统计云平台以代报方式上报数据，代报机构需将加盖企业公章的纸质报表及代报委托书存档。

采购经理调查报表是依法开展的统计调查活动，具有法律强制性。企业必须按照规定填报，不得拒绝或拖延。如果企业确实存在困难，可以通过与统计部门沟通寻求解决方案，但不能以任何理由拒绝填报。"
2,采购经理,采购经理调查报表中企业有海外客户算出口吗?,出口业务是指经过洽谈，收到国外（客户）正式的订单（需求），并按订单安排生产计划。如果与海外客户有上述业务往来，可以算出口。
3,采购经理,采购经理调查调查企业上报平台网址是什么?,"采购经理调查的企业上报平台网址是 https://tjy.stats.gov.cn。该平台用于制造业和非制造业企业的采购经理或相关负责人填报调查问卷。以下是相关信息的总结：
1. 制造业和非制造业采购经理调查问卷的填报，制造业企业的采购经理通过该平台或移动终端报送数据，填报时间为每月22-25日（16:00前）。非制造业企业的填报流程和时间与此类似。
2. 年报和月报的填报方式 ，年报（如企业基本情况调查表）和月报（如制造业和非制造业采购经理调查问卷）均通过该平台进行网上直报。年报的填报时间为每年4月15日前，月报的填报时间则为每月22-25日。
3. 特殊情况的处理 ，对于不具备网上直报条件的企业，统计机构人员可以通过统计云平台以代报方式上报数据。
4. 平台功能 ，该平台支持填报、审核和数据汇总功能。填报时，平台会自动进行逻辑审核，审核通过后方可报送。如果需要进一步了解填报流程或其他相关信息，可以访问上述网址或参考相关统计报表制度文件。"
4,采购经理,采购经理调查年报上报截止时间是什么时候?,采购经理调查的年报上报截止时间为 2025年4月15日。这一时间要求适用于企业基本情况调查表的填报，由全部样本单位负责完成，通过网上直报的方式提交。此外，年报的内容涵盖了企业的基本情况，包括单位详细名称、统一社会信用代码、法定代表人、联系电话、详细地址、区划代码、邮政编码、登记注册统计类别、国有控股情况、单位规模、行业代码、年营业收入、主营业务收入、资产总计、年末从业人员和主要业务活动等。
5,采购经理,采购经理调查年报上报时间从什么时候开始?,采购经理调查的年报上报时间是从每年的4月1日开始
6,采购经理,采购经理调查年报支持手机端上报吗?,采购经理调查的年报主要通过网上直报的方式进行，支持电脑端的填报，而年报目前不支持手机端上报。 年报填报方式，年报通过网上直报的方式进行，具体填报时间为2025年4月15日前，由采购经理调查的全部样本单位完成。手机端主要用于月报的填报，而非年报。例如，制造业和非制造业的月报可以通过网上直报或移动终端进行填报。
7,采购经理,采购经理调查上报平台密码忘记无法登入调查问卷怎么办?,"如果企业在采购经理调查上报平台中忘记密码，无法登录调查问卷，可以按照以下步骤进行解决：
一、密码重置
1. 通过管理员端重置密码：企业可以联系统计机构的管理员，通过管理员端为企业重新设置密码。具体操作流程如下，管理员登录系统后，进入“直报用户管理”模块；选择需要重置密码的企业，输入企业组织机构代码，勾选企业后点击“密码重置”；重置后的初始密码通常为企业组织机构代码或默认密码。
2. 多次重置密码无效的处理：如果多次重置密码后仍无法登录，可能是企业账号下存在多个调查制度，导致其他填报人员修改了密码。此时需要企业内部沟通解决，或联系统计机构进一步处理。
二、证书安装问题
1. 证书安装错误：如果企业未安装根证书或用户证书安装不正确，可能导致登录失败。解决方法是，下载并安装根证书和用户证书，确保证书文件后缀名为`.pfx`（如果下载后为`.zip`，需手动修改后缀名）；安装完成后，重启计算机以确保证书生效。
2. 浏览器设置问题：如果浏览器启用了ssl2.0协议，可能导致登录失败。解决方法是，打开浏览器设置，取消ssl2.0协议的勾选。
三、其他登录问题
1. 电脑时间设置错误：如果企业电脑的时间设置不正确，可能导致证书验证失败。解决方法是重新设置电脑时间。
2. 不明原因的登录问题：如果以上方法均无法解决问题，建议联系统计联网直报平台客服寻求帮助。
四、数据代报
如果企业确实无法完成登录，统计机构可以根据企业提供的凭据进行数据代报，并详细记录情况说明。代报操作流程如下，统计机构登录系统后，选择“数据采集—统计机构录入”模块，输入企业的统一社会信用代码，选择相应报表进行填报。

忘记密码或登录异常时，企业应优先尝试密码重置、证书安装和浏览器设置调整等方法。如果问题仍未解决，建议联系统计机构寻求进一步帮助或进行数据代报，确保调查工作的顺利进行。"
8,采购经理,采购经理调查台账是否需要盖章?,"采购经理调查台账的管理要求主要集中在台账的内容、保存期限以及数据质量等方面，但并未明确提到台账是否需要盖章。以下是与台账管理相关的要点：
1. 台账的建立与保存，采购经理调查台账分为两类：专业工作台账和样本企业台账。专业工作台账由专职人员维护，内容包括相关文件、工作总结、分析报告等；样本企业台账由样本企业统计联系人维护，内容包括年报、月报数据等。台账需按统一格式保存，纸质台账至少保存2年。
2. 台账的审核与管理，台账内容需与实际生产经营状况一致，确保数据真实、准确。检查过程中会核实台账与上报数据是否一致，以保证数据质量。
3. 台账的电子化与备份，电子台账需定期备份，包括年报和月报数据。对于电子信息，需刻成光盘或存入数据仓库，以防数据丢失。
4. 台账的交接与归档，台账需指定专人管理，工作人员变动时需严格履行交接手续。归档工作需在年报、月报后的20个工作日内完成，包括电子和纸质资料。
虽然未明确提及台账是否需要盖章，但根据相关规定，台账作为重要的统计资料，需确保其真实性和规范性。如果需要进一步确认是否需要盖章，建议咨询相关统计部门或上级单位。"
9,采购经理,采购经理调查中本月与去年同期业务对比两年都没有新业务该选达到100吗?,"在采购经理调查中，若企业本月与去年同期均无新业务，填报“业务总量为上年同期水平的”选项时，应根据实际业务量变化情况判断是否选择“达到或超过100%”
业务总量的定义与填报要求，业务总量是指企业报告期内完成的业务活动总量，企业可以根据客户数、销售量、工程量或完成投资等实物量进行综合评价。在填报时，需要结合企业的实际业务完成情况，以及对比期的定义来判断。对于同比（本月与去年同期）的对比，填报人需要判断本月的业务总量是否达到或超过上年同期水平。如果企业报告期（本月）的业务总量与上年同期持平或有所增长，则可以选择“达到或超过100%”；如果业务总量低于上年同期水平，则应选择其他选项。
2. 两年都没有新业务的情况，如果企业报告期（本月）与上年同期都没有新业务，但业务总量与上年同期持平，则可以选择“达到或超过100%”。如果业务总量低于上年同期水平，则应根据实际情况选择“80%-100%”、“50%-80%”或“30%-50%”等选项。需要注意的是，填报人应根据企业的实际业务情况，结合对比期的定义，综合判断业务总量的变化情况。
3. 填报要求与建议，对比期的定义：对于流量问题（如业务总量），对比期为上个月；对于存量问题（如存货、从业人员等），对比期为一个月前。填报要求：填报人需要根据企业的实际业务情况，结合对比期的定义，综合判断业务总量的变化情况。如果企业报告期（本月）的业务总量与上年同期持平或有所增长，则可以选择“达到或超过100%”；如果业务总量低于上年同期水平，则应根据实际情况选择其他选项。
综上所述，如果企业报告期（本月）与上年同期都没有新业务，但业务总量与上年同期持平，则可以选择“达到或超过100%”。如果业务总量低于上年同期水平，则应根据实际情况选择其他选项。"
10,采购经理,采购经理调查中采购主管不直接填报问卷而是由统计人员将问卷问题整理好后去问采购主管应该如何勾选（例如把每月台账打印出来去问采购主管怎么选）再由统计人员进入系统填报问卷那么问卷的填报人是填采购主管的名字还是填统计人员的名字?,"根据采购经理调查的相关规定，填报人应为企业负责人或采购经理，而非统计人员。以下是具体分析和依据：
1. 填报人身份要求, 根据《采购经理调查统计报表制度》的规定，制造业采购经理调查的填报人应为企业主管采购业务活动的副总经理或负责原材料采购的部门经理，而非制造业企业的填报人应为主管运营的负责人或采购经理。统计人员的角色是协助企业完成数据整理和提交，但填报人必须是企业负责人或采购经理。
2. 填报责任, 填报人需要对企业经营、采购及相关业务活动情况的判断负责。例如，制造业采购经理需要对企业生产、订货、采购、价格、库存、人员、供应商配送等情况进行判断，而非制造业企业的负责人需要对业务总量、新订单、存货、价格、从业人员等情况进行判断。这些判断需要基于企业的实际情况，因此必须由直接参与企业运营的负责人或采购经理完成。
3. 数据真实性和可靠性,采购经理调查强调数据的真实性和可靠性。如果填报人填写为统计人员，可能导致数据来源不明确，影响数据质量。因此，统计人员在整理问卷后，应以采购主管的名义进行填报，并确保所有判断和选择符合采购主管的意愿。
4. 操作建议,统计人员在整理问卷时，应与采购主管充分沟通，确保所有选项的选择符合采购主管的判断。在系统填报时，填报人姓名应填写采购主管的姓名，并备注统计人员的协助角色（如“协助填报”）。保留与采购主管的沟通记录，以备后续审核或查询。

综上所述，填报人应填写采购主管的姓名，而不是统计人员的名字。统计人员的角色是协助完成填报工作，而非替代填报人身份。"
